,IP,START_DATE,END_DATE,MOBILE,CONDITION,SYMBOL,INFORMATION,AREA_reside,CITY_reside,AREA_youth_haifa,AREA_work,CITY_reside_1,AREA_reside_haifa,AREA_work_haifa,AREA,AREA_names,TRUST_q1,TRUST_q2,TRUST_q3,TRUST_q4,TRUST_q5,TRUST_q6,TRUST_competence,TRUST_benevolence,TRUST_integrity,TRUST_INDEX,ELABORATION_q1,ELABORATION_q2,ELABORATION_q3,ELABORATION_q4,ELABORATION_q5,ELABORATION_q2.r,ELABORATION_q5.r,ELABORATION_INDEX,MEMORY_correct,MEMORY_incorrect,MEMORY_score,ELABORATION_time,TRUST_timer,ELABORATION_time_log,WASTE_TRUST_q1,WASTE_TRUST_q2,WASTE_TRUST_q3,WASTE_TRUST_q4,WASTE_TRUST_competence,WASTE_TRUST_benevolence,WASTE_TRUST_INDEX,WASTE_ELABORATION_time,WASTE_ELABORATION_time_log,IMC_item,IMC,RELEVANCE,ENVIRONMENT_INTEREST,ENVIRONMENT_FOLLOW,ENVIRONMENT_PREFERENCE,HAIFA_knowledge_q1.1,HAIFA_knowledge_q1.2,HAIFA_knowledge_q1.3,HAIFA_knowledge_q2,HAIFA_knowledge_q3,HAIFA_knowledge_1.1,HAIFA_knowledge_1.2,HAIFA_knowledge_1.3,HAIFA_knowledge_1_score,HAIFA_knowledge_2,HAIFA_knowledge_3,GOV_EVALUATION,GOV_TRUST,IDEOLOGY,AGE,EDUCATION,INCOME,HOME,GENDER,HEBREW,LOGO_memory_item,COLOR_memory_item,SVIVA_LOGO_memory,FAKE_LOGO_memory,SVIVA_COLOR_memory,FAKE_COLOR_memory,SVIVA_LOGO_recognize_test,SVIVA_LOGO_recognize,FAKE_LOGO_recognize,SVIVA_LOGO_affect,FAKE_LOGO_affect,TIMER_total,TIMER_total_filter,REPETITION_trust,REPETITION_elaboration,REPETITION_filter,TRUST_timer_filter
1,,24/05/2017 17:11,24/05/2017 17:17,0,C,0,1,3,RISHON LEZION,0,3,RISHON LEZION,0,0,0,0 Shfela,2,3,5,4,4,4,2.5,4.5,4,3.666666667,4,5,4,3,3,3,5,3.8,2,0,2,4.412,13.698,1.68861871,3,5,4,4,4,4,4,6.621,2.030907595,9,1,3,5,4,6,14,11,12,2,2,1,0,1,2,0,2,3,3,7,39,8,1,1,0,1,0,0,NA,NA,NA,NA,1,5,NA,4,NA,5,0,0,0,0,0
2,,24/05/2017 17:12,24/05/2017 17:17,1,E,1,0,3,NATANIA,0,4,NATANIA,0,0,0,0 Shfela,6,6,5,5,6,4,6,5,5,5.333333333,4,4,4,6,2,4,6,4.8,0,0,0,0,29.02,0,6,5,6,5,5.5,5.5,5.5,8.927,2.295258318,9,1,6,6,5,7,15,12,13,3,3,1,0,1,2,0,3,3,2,7,45,7,3,1,1,1,3,4,NA,0,NA,0,NA,NA,1,NA,5,5,0,0,0,0,0
3,,24/05/2017 17:13,24/05/2017 17:18,1,B,1,1,3,PETACH TIKVA,0,4,PETACH TIKVA,0,0,0,0 Shfela,4,3,3,3,3,2,3.5,3,2.5,3,5,4,4,3,4,4,4,4,2,0,2,5.282,23.249,1.837688401,3,4,4,3,3.5,3.5,3.5,8.03,2.200552367,9,1,3,5,5,6,13,13,13,1,2,0,0,0,0,1,2,3,2,6,39,7,3,1,0,1,1,3,NA,0,NA,0,NA,NA,2,NA,4,5,0,0,0,0,0
4,,24/05/2017 17:12,24/05/2017 17:18,1,D,2,0,2,HAIFA,1,2,HAIFA,1,1,1,1 Haifa,5,7,5,6,6,6,6,5.5,6,5.833333333,7,1,7,7,2,7,6,6.8,2,1,1,20.243,28.678,3.056027429,3,4,2,5,3.5,3.5,3.5,9.563,2.357357329,9,1,7,4,4,4,2,15,15,2,3,0,0,0,0,0,3,6,5,3,30,7,4,2,0,1,3,1,0,NA,1,NA,NA,1,NA,4,NA,6,0,0,0,0,0
5,,24/05/2017 17:13,24/05/2017 17:18,0,C,0,1,2,HAIFA,1,4,HAIFA,1,0,1,1 Haifa,6,5,4,4,4,3,5.5,4,3.5,4.333333333,5,3,2,4,4,5,4,4,2,0,2,12.013,19.263,2.565948858,6,4,4,5,5,4.5,4.75,15.754,2.818637036,9,1,7,3,2,5,15,12,15,2,2,1,0,0,1,0,2,3,3,4,32,7,NA,2,0,1,0,0,NA,NA,NA,NA,0,1,NA,3,NA,4,0,0,0,0,0
6,,24/05/2017 17:12,24/05/2017 17:18,1,D,2,0,3,RISHON LEZION,0,3,RISHON LEZION,0,0,0,0 Shfela,2,5,4,3,3,3,3.5,3.5,3,3.333333333,5,2,5,3,1,6,7,5.2,1,1,0,25.317,23.051,3.270215118,5,5,3,4,5,3.5,4.25,20.733,3.078831843,9,1,4,6,5,5,15,13,15,3,3,1,0,0,1,0,3,4,3,0,24,7,2,2,1,1,1,1,1,NA,1,NA,NA,7,NA,6,NA,6,0,0,0,0,0
7,,24/05/2017 17:14,24/05/2017 17:18,1,E,1,0,2,HAIFA,0,2,HAIFA,1,1,1,1 Haifa,3,4,2,2,2,2,3.5,2,2,2.5,4,6,3,2,5,2,3,2.8,1,0,1,7.128,17.276,2.095314891,3,4,2,4,3.5,3,3.25,3.923,1.593918101,9,1,6,2,2,4,13,11,11,3,1,1,0,1,2,0,1,3,2,1,27,7,1,2,1,1,1,2,NA,0,NA,1,NA,NA,1,NA,4,4,0,0,0,0,0
8,,24/05/2017 17:12,24/05/2017 17:18,1,D,2,0,3,NATANIA,0,3,NATANIA,0,0,0,0 Shfela,4,4,4,5,4,3,4,4.5,3.5,4,3,6,2,2,5,2,3,2.4,1,0,1,2.721,21.649,1.313992449,2,2,1,1,2,1,1.5,7.551,2.146048235,9,1,1,1,1,1,15,10,12,3,1,1,0,1,2,0,1,5,3,4,23,6,1,2,0,1,1,1,1,NA,1,NA,NA,2,NA,4,NA,5,0,0,0,0,0
9,,24/05/2017 17:12,24/05/2017 17:18,0,A,2,1,3,RISHON LEZION,0,3,RISHON LEZION,0,0,0,0 Shfela,5,4,3,3,4,4,4.5,3,4,3.833333333,4,6,6,6,5,2,3,4.2,1,0,1,29.576,35.218,3.420215387,5,4,3,3,4.5,3,3.75,16.685,2.872716823,9,1,5,5,5,5,13,12,10,3,1,1,1,1,3,0,1,3,3,3,33,7,2,1,1,1,1,1,1,NA,1,NA,NA,2,NA,4,NA,6,0,0,0,0,0
10,,24/05/2017 17:11,24/05/2017 17:18,1,F,0,0,2,QIRYAT BIALIK,1,3,QRAYOT,1,0,1,1 Haifa,1,1,1,2,1,1,1,1.5,1,1.166666667,3,5,3,6,1,3,7,4.4,2,1,1,38.58,66.217,3.67832394,4,4,3,2,4,2.5,3.25,18.77,2.984165637,9,1,5,4,4,5,15,15,2,1,3,0,1,1,2,1,3,3,2,3,36,7,3,1,0,1,0,0,NA,NA,NA,NA,1,1,NA,3,NA,7,0,0,0,0,0
