,IP,START_DATE,END_DATE,FINISHED,TIME_total,RANDOM,CITY_text,AGE,INCOME,EDUCATION,GENDER,CITY_he,CITY_en,ORDER_1,ORDER_2,ORDER_3,ORDER_4,ORDER_waste_real,ORDER_waste_fake,ORDER_air_real,ORDER_air_fake,waste_real_THOUGHT,waste_real_RT,waste_real_positive_affect,waste_real_negative_affect,waste_real_image_funny,waste_real_image_weird,waste_real_person_familiar,waste_real_person_funny,waste_real_person_attractive,waste_real_ad_familiar,waste_fake_THOUGHT,waste_fake_RT,waste_fake_positive_affect,waste_fake_negative_affect,waste_fake_image_funny,waste_fake_image_weird,waste_fake_person_familiar,waste_fake_person_funny,waste_fake_person_attractive,waste_fake_ad_familiar,air_real_THOUGHT,air_real_RT,air_real_positive_affect,air_real_negative_affect,air_real_image_funny,air_real_image_weird,air_real_person_familiar,air_real_person_funny,air_real_person_attractive,air_real_ad_familiar,air_fake_THOUGHT,air_fake_RT,air_fake_positive_affect,air_fake_negative_affect,air_fake_image_funny,air_fake_image_weird,air_fake_person_familiar,air_fake_person_funny,air_fake_person_attractive,air_fake_ad_familiar
1,,1/22/2018 14:33,1/22/2018 14:37,1,240,air_fake|air_real|waste_real|waste_fake,חולון,19,3,3,0,חולון,Hulon,air_fake,air_real,waste_real,waste_fake,3,4,2,1,שקית רב פעמית,16.413,4,1,1,1,7,2,4,7,שקית רב פעמית,13.869,1,1,1,1,1,1,3,1,ראש דשא,6.727,2,1,6,5,7,7,5,5,"נדל""ן",7.496,5,2,2,3,1,1,1,1
2,,1/22/2018 14:33,1/22/2018 14:37,1,240,waste_fake|air_fake|air_real|waste_real,רחובות,33,1,8,0,רחובות,Rehovot,waste_fake,air_fake,air_real,waste_real,4,1,3,2,שימוש בשקית רב פעמית,18.381,5,1,4,3,7,4,4,6,שימוש בשקית רב פעמית כשהולכים לקניות,21.076,6,2,3,4,2,3,4,1,"ראש ירוק, חושב על הסביבה",18.363,5,1,5,4,7,7,4,5,סטודנט,21.867,4,4,5,6,1,3,3,1
3,,1/22/2018 14:36,1/22/2018 14:40,1,240,waste_real|air_fake|waste_fake|air_real,חולון,34,5,4,1,חולון,Hulon,waste_real,air_fake,waste_fake,air_real,1,3,4,2,להשתמש בסל הירוק ,14.633,5,1,4,1,7,7,6,3,חיקוי,14.267,4,1,2,1,1,2,3,1,צחוק,7.111,7,1,7,3,7,7,4,4,אסתטיות,15.261,2,4,4,5,1,2,1,1
4,,1/22/2018 14:38,1/22/2018 14:41,1,180,waste_fake|air_real|air_fake|waste_real,חולון,30,3,5,0,חולון,Hulon,waste_fake,air_real,air_fake,waste_real,4,1,2,3,מונית הכסף,13.447,7,1,4,1,7,7,6,7,איכות סביבה,8.516,6,2,2,2,2,2,4,6,מיחזור,6.853,5,2,6,2,7,6,2,7,כלום,8.394,2,1,1,1,1,1,1,1
5,,1/22/2018 14:37,1/22/2018 14:41,1,240,air_real|air_fake|waste_fake|waste_real,חדרה,28,2,7,1,חדרה,Hadera,air_real,air_fake,waste_fake,waste_real,4,3,1,2,קניות,4.244,1,1,1,1,7,3,2,1,קניות,5.548,1,1,1,1,1,1,3,1,דשא,13.074,3,3,4,6,6,7,3,1,בית,4.012,2,2,1,5,1,1,1,1
6,,1/22/2018 14:37,1/22/2018 14:42,1,300,waste_fake|air_real|air_fake|waste_real,רחובות,19,1,4,0,רחובות,Rehovot,waste_fake,air_real,air_fake,waste_real,4,1,2,3,לשים בסל רב פעמי,10.213,6,1,1,2,7,3,2,1,שמים את הכל בסל רב פעמי ולא בשקית חד פעמית כדי לשמור על הסביבה,30.485,7,2,2,7,1,1,1,1,מטומטמת,6.976,1,5,5,4,7,3,2,7,לא מובן כלל,10.008,4,3,1,2,1,1,2,1
7,,1/22/2018 14:36,1/22/2018 14:43,1,420,air_fake|waste_fake|waste_real|air_real,חולון,72,3,4,0,חולון,Hulon,air_fake,waste_fake,waste_real,air_real,3,2,4,1,במקום שקיות ,18.841,7,5,5,4,6,5,7,6,במקום שקיות ניילון / ,17.951,7,3,5,2,5,3,3,5,מוכר לי,12.058,6,7,6,5,6,5,4,6,ג'ינג'י גזעי / ,41.107,3,2,5,4,1,3,6,5
8,,1/22/2018 14:41,1/22/2018 14:43,1,120,waste_real|air_real|waste_fake|air_fake,חדרה,32,2,7,1,חדרה,Hadera,waste_real,air_real,waste_fake,air_fake,1,3,2,4,קניות,5.744,4,4,3,4,4,4,4,5,כחול,6.387,4,4,4,4,4,4,4,5,ראש דשא,5.526,4,4,4,4,4,4,4,5,בית,3.397,4,4,4,4,4,4,4,5
9,,1/22/2018 14:37,1/22/2018 14:44,1,420,waste_fake|air_fake|air_real|waste_real,רחובות,19,4,4,1,רחובות,Rehovot,waste_fake,air_fake,air_real,waste_real,4,1,3,2,איכות הסביבה,28.679,4,1,4,1,7,7,3,7,מחזור,4.493,5,1,2,1,1,2,2,1,מצחיק,5.167,6,1,7,5,7,7,2,7,מוזר,13.543,1,3,4,7,1,1,1,1
10,,1/22/2018 14:40,1/22/2018 14:45,1,300,air_fake|waste_real|waste_fake|air_real,נהריה,29,1,3,0,נהריה,Naharia,air_fake,waste_real,waste_fake,air_real,2,3,4,1,סופר,14.375,2,2,1,4,7,3,2,1,סופר,15.027,1,1,1,4,1,1,1,1,טבע,18.492,3,2,4,4,7,7,1,7,בנק,29.568,1,2,1,3,1,1,1,1
11,,1/22/2018 14:44,1/22/2018 14:48,1,240,waste_fake|waste_real|air_real|air_fake,רחובות,19,4,4,0,רחובות,Rehovot,waste_fake,waste_real,air_real,air_fake,2,1,3,4,הפתעה,11.138,6,2,6,5,7,7,5,1,תראו מה קניתי,23.224,4,4,6,6,1,4,5,1,מה לעזאזל ,11.078,7,1,7,7,7,7,2,7,איכס איזה מכוער,7.365,2,5,2,7,1,1,1,1
12,,1/22/2018 14:44,1/22/2018 14:50,1,360,air_real|waste_fake|waste_real|air_fake,רחובות,40,4,8,1,רחובות,Rehovot,air_real,waste_fake,waste_real,air_fake,3,2,1,4,שעמום,53.826,4,4,1,1,7,1,5,3,די לבזבוז ,12.537,3,3,1,5,1,1,4,1,לחשוב ירוק,7.839,7,1,6,4,7,7,5,5,משכנתא,12.694,3,3,1,4,1,2,3,1
13,,1/22/2018 14:37,1/22/2018 14:50,1,780,air_fake|waste_fake|waste_real|air_real,רחובות,24,1,4,1,רחובות,Rehovot,air_fake,waste_fake,waste_real,air_real,3,2,4,1,חוק השקיות,10.491,6,4,5,1,7,7,7,7,חוק השקיות ,14.569,4,1,4,4,1,1,6,3,עולם ירוק באמצעות מחזור,50.925,1,7,1,1,1,1,4,7,כל מבוגר זקוק לאפשרות שתהייה לו קורת גג לו ולמשפחתו,65.502,7,1,6,5,1,2,2,1
14,,1/22/2018 14:46,1/22/2018 14:51,1,300,air_fake|waste_real|air_real|waste_fake,חולון,36,1,7,1,חולון,Hulon,air_fake,waste_real,air_real,waste_fake,2,4,3,1,סלים במקום שקיות,13.108,2,2,3,3,7,4,3,3,סלים במקום שקיות,13.46,2,1,1,1,1,1,2,1,ראש דשא,7.292,2,1,5,4,7,7,3,1,דיור למשתכן,14.553,2,2,1,3,1,1,2,1
