V1,V10,CITY_reside_he,CITY_reside_en,i.user3,i.user3,,CITY_reside_ipanel_he,CITY_reside_ipanel_en
R_SGLHd9Te54MFbjz,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_wT94OpBnu2Bn1kJ,1,נתניה,NATANIA,,,נתניה,נתניה,
R_wLQAhh94vbKNObT,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_2VfQCbkSZ4dD0W4,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_x0mQ7nfrnazvi3D,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3IyYhd5FLQCR9It,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_0JvqTzF0cBaorbb,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_1riAzpnCPU3B8Gi,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_24IfKFoQVLSSD2f,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_2ZW6PtodrfpsTPX,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_10qP7XOfVe85B2x,1,נתניה,NATANIA,,,נתניה,נתניה,
R_2BeMbO2iBPjTrrX,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1eKmTpz4qHevV3d,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_2ANpboPpCNo1CDU,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_SZeVaFoj9RNGIAp,1,נתניה,NATANIA,,,נתניה,נתניה,
R_bl40D3L4dIaE70B,1,נתניה,NATANIA,,,נתניה,נתניה,
R_efy2q7rC1Mg1ibT,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_3exKPhc7Spph7Zy,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_ZgTrWAT6HJj08Jb,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1j9wY72gOQVnMWD,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_2SdmmdEPwrRkQhK,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2XcZ61n5YmBzix1,1,נתניה,NATANIA,,,נתניה,נתניה,
R_1dboNOazOHFzzvW,1,נתניה,NATANIA,,,נתניה,נתניה,
R_SViiCreBpuMaF4l,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_31ab3MVhN6vS0H0,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1kIfRuS9350Mm7t,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3iVziJcsLE9EZJz,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2wMiewMysuR9Hg0,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_qU75NFv8RwDvXrP,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1jK6nLWhKXQtAIn,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3KuYKaZue9gAiqV,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_Df6kbYpnrfLf0v7,1,נתניה,NATANIA,,,נתניה,נתניה,
R_2E60Dlyp5WqLAAS,1,חיפה,HAIFA,,,חיפה,חיפה,
R_x5cAqjiMP7dEVoZ,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_pN26OqO0D1g56fL,1,נתניה,NATANIA,,,נתניה,נתניה,
R_UFTmUGC4Kz8yQNz,1,נתניה,NATANIA,,,נתניה,נתניה,
R_3fORA2c46A88iUD,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1NaEIWasnAbtLFO,1,נתניה,NATANIA,,,נתניה,נתניה,
R_3dLAGWA5yJaYpXu,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_2Yly0sEe5qzfuDO,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2vjqklDDJ3r1cb2,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_23gxSuQrecvrwae,1,נתניה,NATANIA,,,נתניה,נתניה,
R_1rcE7MUg6Kmnrzi,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3CNkYMafVYCNSub,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_27CgXf3Y99rd53O,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1GVvJQOvMlivq4x,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_WdR10dxFVpCo8oN,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2w5Idd06sw70gm1,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_3nkoLmi8VjKWo5R,1,חיפה,HAIFA,,,חיפה,חיפה,
R_rk9rXKmKpbDhcyJ,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2ZWY7uD59QX7xZZ,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2B8P1gsD5ebPRpZ,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_djm15g27fh2Zsvn,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_UrRZqwVW1eF1cSl,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3CPLgk6weW05llg,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_2AZ1YBk4jpIN0kb,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ים,קריית ים,
R_12bww4QahRhuipF,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_p6rOqpsO6crq3ip,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_0UJVmTsmJ7VU4FP,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_bykNjcn8tMOFDI5,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3j0DycfkGV8kf7O,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2710OcTLWgCk8cA,1,קרית ים,QIRYAT YAM,,,קריית ים,קריית ים,
R_33pDzhlyY0oJbRt,1,קרית מוצקין,QIRYAT MOZKIN,,,קריית מוצקין,קריית מוצקין,
R_2tajG3AAi0WHjdK,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_1N3UVISWLmfT0dj,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2s5tXpE67btnwUX,1,חיפה,HAIFA,,,חיפה,חיפה,
R_6FKeGGmH47dSX73,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2RakO1qWEOYHXXr,1,נתניה,NATANIA,,,נתניה,נתניה,
R_2obURIOVtUvmd4R,1,חיפה,HAIFA,,,חיפה,חיפה,
R_1cSWDbGvi8VfXBA,1,נתניה,NATANIA,,,נתניה,נתניה,
R_3iXd6zhvQp3UH59,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2ZCV6IF7YKwqd2Q,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_216NqpUkOvxkx7X,1,נתניה,NATANIA,,,נתניה,נתניה,
R_2zOy3nm2rS8N5Gw,1,קרית מוצקין,QIRYAT MOZKIN,,,קריית מוצקין,קריית מוצקין,
R_Bs1pCFCPJFLrTwd,1,נתניה,NATANIA,,,נתניה,נתניה,
R_brBK1b1B7YayFTr,1,נתניה,NATANIA,,,נתניה,נתניה,
R_2QyuY7JHPt1Td5n,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_1eVk41PVWhPMcEW,1,קרית מוצקין,QIRYAT MOZKIN,,,קריית מוצקין,קריית מוצקין,
R_3RgcbS2XjjIWpkH,1,חיפה,HAIFA,,,חיפה,חיפה,
R_3fr6kl8bCkHRzgp,1,חיפה,HAIFA,,,חיפה,חיפה,
R_217DthMwIW0btDi,1,נתניה,NATANIA,,,נתניה,נתניה,
R_6tBYiaFQIGuvpKN,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_1IHuHkYwkYiQ996,1,חיפה,HAIFA,,,חיפה,חיפה,
R_1jPdcEURz4otmXZ,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3fjkzhYSbDzRBGM,1,נתניה,NATANIA,,,נתניה,נתניה,
R_AnRSkOUGcihBM89,1,קרית מוצקין,QIRYAT MOZKIN,,,קריית מוצקין,קריית מוצקין,
R_1NDfgaG0NgqVOIy,1,נשר,NESHER,,,נשר,נשר,
R_1DnAH6wF0PGosio,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_2uTCzI34ViMeeBd,1,נתניה,NATANIA,,,נתניה,נתניה,
R_xi62tk9lAD5Icvv,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1LUbsqVFEhw7tTU,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_2PCnnTNQk9IKQoc,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_2Wxx5GLdLni8l26,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_24P3WQiWJVJsUqs,1,חיפה,HAIFA,,,חיפה,חיפה,
R_1EgLoZwmGxORE6p,1,קרית מוצקין,QIRYAT MOZKIN,,,קריית מוצקין,קריית מוצקין,
R_b8hcUwRTSDkEjVD,1,חיפה,HAIFA,,,חיפה,חיפה,
R_1IS4p5yGSJGEvry,1,חיפה,HAIFA,,,חיפה,חיפה,
R_3e4DVFc3jTh0cGF,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_2eQYuKUcPdRPFRm,1,נתניה,NATANIA,,,נתניה,נתניה,
R_1PZwU8XQ3xZPaYa,1,חיפה,HAIFA,,,חיפה,חיפה,
R_RK7LOqzpt7FPduh,1,נשר,NESHER,,,נשר,נשר,
R_sRIDpqSdzcsxkaJ,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_zbYzkbOT9VcRfH3,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2YadLNG9bk1FED8,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_0DpOwKM7dMP5dqp,1,נתניה,NATANIA,,,נתניה,נתניה,
R_1DP5KHwN6DnhYqc,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_3sogdMpXjBSKWh4,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2uPyzEX1OPEZT2a,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2dtHvOcaENfwjqO,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
